Date,B1,B2,B3,B4,B5,B6,BB,LC,RH,PD,TMP,TMP2,TMP3
2023-01-06,3,20,46,59,63,13,2,3,64,2916,2023-01-06T22,,*
2023-01-03,25,29,33,41,44,18,3,2,97,2902,2023-01-03T22,,*
2022-12-30,1,3,6,44,51,7,3,2,90,2892,2022-12-30T22,,
2022-12-27,9,13,36,59,61,11,4,1,54,2915,2022-12-27T22,,
2022-12-23,15,21,32,38,62,8,3,1,56,2914,2022-12-23T22,,
2022-12-20,3,4,33,36,52,17,2,4,79,2924,2022-12-20T22,,
2022-12-16,8,35,40,53,56,11,3,4,47,2891,2022-12-16T22,,
2022-12-13,14,22,48,58,68,6,5,3,69,2905,2022-12-13T22,,
2022-12-09,8,19,53,61,69,19,4,3,96,2905,2022-12-09T22,,
2022-12-06,15,16,19,28,47,13,5,2,96,2913,2022-12-06T22,,
2022-12-02,1,21,36,46,52,16,2,2,74,2927,2022-12-02T22,,
2022-11-29,20,23,37,46,52,6,2,1,93,2892,2022-11-29T22,,
2022-11-25,29,31,46,54,67,18,5,1,83,2901,2022-11-25T22,,
2022-11-22,13,23,24,25,43,2,4,4,58,2918,2022-11-22T22,,
2022-11-18,2,14,16,38,66,9,3,4,58,2921,2022-11-18T22,,
2022-11-15,6,19,28,46,61,18,5,3,90,2904,2022-11-15T22,,
2022-11-11,1,5,17,37,70,22,2,3,87,2876,2022-11-11T22,,
2022-11-08,5,13,29,38,59,23,5,3,41,2926,2022-11-08T22,,
2022-11-04,2,20,47,55,59,19,5,2,75,2904,2022-11-04T22,,
2022-11-01,5,9,15,16,17,25,5,2,78,2912,2022-11-01T22,,
2022-10-28,4,18,31,53,69,7,3,1,60,2918,2022-10-28T22,,
2022-10-25,21,30,35,45,66,21,5,1,93,2876,2022-10-25T22,,
2022-10-21,34,36,43,45,68,22,5,4,59,2905,2022-10-21T22,,
2022-10-18,1,15,20,44,67,23,5,4,62,2897,2022-10-18T22,,
2022-10-14,9,22,26,41,44,19,2,3,58,2895,2022-10-14T22,,
2022-10-11,3,7,11,13,38,1,4,3,76,2910,2022-10-11T22,,
2022-10-07,6,11,29,36,55,21,5,2,63,2908,2022-10-07T22,,
2022-10-04,15,18,25,33,38,25,3,2,70,2897,2022-10-04T22,,
2022-09-30,16,26,37,40,51,6,5,1,47,2874,2022-09-30T22,,
2022-09-27,8,14,24,43,51,9,3,1,41,2904,2022-09-27T22,,
2022-09-23,5,50,53,58,64,22,4,4,56,2902,2022-09-23T22,,
2022-09-20,9,21,28,30,52,10,3,4,90,2892,2022-09-20T22,,
2022-09-16,15,30,35,38,66,12,3,3,71,2909,2022-09-16T22,,
2022-09-13,14,25,38,59,64,21,2,3,73,2891,2022-09-13T22,,
2022-09-09,16,21,54,55,69,22,3,2,69,2888,2022-09-09T22,,
2022-09-06,6,17,46,59,68,2,2,2,85,2895,2022-09-06T22,,
2022-09-02,39,40,52,60,67,20,3,1,88,2905,2022-09-02T22,,
2022-08-30,2,38,55,57,65,17,2,1,96,2892,2022-08-30T22,,
2022-08-26,6,27,30,38,64,23,4,4,88,2895,2022-08-26T22,,
2022-08-23,3,5,47,48,67,7,3,4,79,2892,2022-08-23T22,,
2022-08-19,12,18,24,46,65,3,5,4,94,2901,2022-08-19T22,,
2022-08-16,33,35,41,45,51,1,4,3,74,2887,2022-08-16T22,,
2022-08-12,23,24,50,54,64,3,4,3,69,2894,2022-08-12T22,,
2022-08-09,1,8,10,25,32,13,3,2,87,2909,2022-08-09T22,,
2022-08-05,2,5,29,64,69,18,3,2,79,2910,2022-08-05T22,,
2022-08-02,10,14,25,37,63,14,2,1,71,2898,2022-08-02T22,,
2022-07-29,13,36,45,57,67,14,2,1,77,2902,2022-07-29T22,,
2022-07-26,7,29,60,63,66,15,2,4,72,2903,2022-07-26T22,,
